,image,latitude,longitude,cluster,type,tags,Regional Lang,Translated Lang,Dev_Index,yojnas
0,16hindi.jpg,28.2753769344,76.6196302716,0,public_service_body,"[u'property', u'architecture', u'real estate', u'facade', u'building']","कार्यालय जा पंचायत सालावास .स.
हार के बाजारों वह
",Office ja panchayat salavas. The market of defeat,119.543,"{'Medical_body': array(['Jan Aushadhi', 'Central Government Health Scheme',
       'Integrated Rural Development Program',
       'Pradhan Mantri Bhartiya Jan Aushadhi Kendra(PMBJK)'],
      dtype='|S50'), 'Water_supply_body': array([ 'Soil and Water Conservation under Hill Area Development Programme-Aug 25, 2011'],
      dtype='|S78'), 'Transportational Asset': array(['Green Urban Transport Scheme(GUTS) - PM Jan Dhan Yojana'],
      dtype='|S55'), 'Environment_management': array(['Tamil Nadu Biodiversity Conservation and Greening Project (TBGP)',
       'National Afforestation Programme', 'Green India mission',
       'Intensification of Forest Management Scheme'],
      dtype='|S64')}"
1,7tamil.jpg,28.2859012199,76.6561177693,0,public_service_body,"[u'property', u'rural area', u'real estate', u'vehicle', u'shed', u'roof', u'land lot', u'house', u'facade', u'commercial building']","ஊரக வளர்ச்சி மற்றும் ஊராட்சித்துறை
தருமபு: உஆ ட்சி ஒன்றியம், தருமபுரீம யம்
சோகத்துர் ஊராட்சி
தூய்மை பாரத இயக்கம் (ஊரகம்)
திடக்கழிவுமேலாண்மை திடம் 201 - 1
திடகழிவுமோண்மைஉரக்கிங்கு
சோகத்தூர்ஊராட்சி
சவுருப்பழ
ெ
","Rural Development and Panchayat Raja Dharampu: UCC Union, Dharmapuriya Sagutthar Panchayat Purathe Bharatiya Matera (Coimbatore) Disaster Management Center 201 - 1 Disinfestation",119.543,"{'Medical_body': array(['Jan Aushadhi', 'Central Government Health Scheme',
       'Integrated Rural Development Program',
       'Pradhan Mantri Bhartiya Jan Aushadhi Kendra(PMBJK)'],
      dtype='|S50'), 'Water_supply_body': array([ 'Soil and Water Conservation under Hill Area Development Programme-Aug 25, 2011'],
      dtype='|S78'), 'Transportational Asset': array(['Green Urban Transport Scheme(GUTS) - PM Jan Dhan Yojana'],
      dtype='|S55'), 'Environment_management': array(['Tamil Nadu Biodiversity Conservation and Greening Project (TBGP)',
       'National Afforestation Programme', 'Green India mission',
       'Intensification of Forest Management Scheme'],
      dtype='|S64')}"
2,3tamil.jpg,28.3698178439,76.5416435357,0,Educational_body,"[u'property', u'signage', u'area', u'advertising', u'palm tree', u'house', u'facade', u'banner', u'arecales', u'tree']","இராமசாமி தமிழ்க் கல்லூரி,காரைக்கு
","Ramasamy tamil college, car",119.543,"{'Medical_body': array(['Jan Aushadhi', 'Central Government Health Scheme',
       'Integrated Rural Development Program',
       'Pradhan Mantri Bhartiya Jan Aushadhi Kendra(PMBJK)'],
      dtype='|S50'), 'Water_supply_body': array([ 'Soil and Water Conservation under Hill Area Development Programme-Aug 25, 2011'],
      dtype='|S78'), 'Transportational Asset': array(['Green Urban Transport Scheme(GUTS) - PM Jan Dhan Yojana'],
      dtype='|S55'), 'Environment_management': array(['Tamil Nadu Biodiversity Conservation and Greening Project (TBGP)',
       'National Afforestation Programme', 'Green India mission',
       'Intensification of Forest Management Scheme'],
      dtype='|S64')}"
3,1tamil.jpg,28.413679608,76.7838850783,0,Educational_body,"[u'tree', u'recreation', u'signage', u'sign', u'plant']","தமிழ்நாடுஅரசுபல்மருத்துவக்கல்லூரி மற்று
மருததுவமனை சென்னை -600003
|
D
",Tamil Nadu Government Nursing School and Marutathuvamana Chennai-600003 | D,119.543,"{'Medical_body': array(['Jan Aushadhi', 'Central Government Health Scheme',
       'Integrated Rural Development Program',
       'Pradhan Mantri Bhartiya Jan Aushadhi Kendra(PMBJK)'],
      dtype='|S50'), 'Water_supply_body': array([ 'Soil and Water Conservation under Hill Area Development Programme-Aug 25, 2011'],
      dtype='|S78'), 'Transportational Asset': array(['Green Urban Transport Scheme(GUTS) - PM Jan Dhan Yojana'],
      dtype='|S55'), 'Environment_management': array(['Tamil Nadu Biodiversity Conservation and Greening Project (TBGP)',
       'National Afforestation Programme', 'Green India mission',
       'Intensification of Forest Management Scheme'],
      dtype='|S64')}"
4,20hindi.jpg,28.3693395907,76.6338154846,0,Educational_body,"[u'property', u'neighbourhood', u'building', u'advertising', u'city']","1 ॥
|ा
दहशीशाबाड़बाड़ीठाई
ड III सवाईमानसिंह अया| ll थे। Ti i
PTI 7 है।
1.2 है,130SPIAL -1. Aliiii
के की है
।
","1. | Abhaashashabad Babrietta D. III Savaiyam Singh Aya | were there. Ti i PTI is 7. 1.2, 130 SPIAL-1 Aliiii is of",119.543,"{'Medical_body': array(['Jan Aushadhi', 'Central Government Health Scheme',
       'Integrated Rural Development Program',
       'Pradhan Mantri Bhartiya Jan Aushadhi Kendra(PMBJK)'],
      dtype='|S50'), 'Water_supply_body': array([ 'Soil and Water Conservation under Hill Area Development Programme-Aug 25, 2011'],
      dtype='|S78'), 'Transportational Asset': array(['Green Urban Transport Scheme(GUTS) - PM Jan Dhan Yojana'],
      dtype='|S55'), 'Environment_management': array(['Tamil Nadu Biodiversity Conservation and Greening Project (TBGP)',
       'National Afforestation Programme', 'Green India mission',
       'Intensification of Forest Management Scheme'],
      dtype='|S64')}"
5,18hindi.jpg,27.7173235383,76.8327618105,0,awarness,"[u'property', u'neighbourhood', u'signage', u'commercial building', u'building', u'real estate', u'facade', u'advertising']","इलाहाबाद बैंक 3 ALLAHABAD BANk / "".
भारत सरकार का उपक्रम
A Govt of India Un d e t a k in g
शावा: रानीगांजा बाजार
BRANe: RANIGAI BAAR
खादी ग्रामोद्योग आयोग से प्रभावित
डा, शंकर सिंह
उवादीभण्डा
जिस
द्वातवालित-बैरिया सतत विकास
IITI
","Allahabad Bank 3 ALLAHABAD BANK / &quot;Govt. Of India A Govt of India Un detak in g shava: Raniganja Market BRANe: RANIGAI BAAR affected by Khadi Village Industries Commission Dr. Shankar Singh Uthab Bhanda, Dwivedi-Baria Sustainable Development IITI",119.543,"{'Medical_body': array(['Jan Aushadhi', 'Central Government Health Scheme',
       'Integrated Rural Development Program',
       'Pradhan Mantri Bhartiya Jan Aushadhi Kendra(PMBJK)'],
      dtype='|S50'), 'Water_supply_body': array([ 'Soil and Water Conservation under Hill Area Development Programme-Aug 25, 2011'],
      dtype='|S78'), 'Transportational Asset': array(['Green Urban Transport Scheme(GUTS) - PM Jan Dhan Yojana'],
      dtype='|S55'), 'Environment_management': array(['Tamil Nadu Biodiversity Conservation and Greening Project (TBGP)',
       'National Afforestation Programme', 'Green India mission',
       'Intensification of Forest Management Scheme'],
      dtype='|S64')}"
6,15hindi.jpg,28.9161282961,76.7273017861,0,Educational_body,"[u'public space', u'tree', u'vehicle', u'recreation', u'signage', u'city']","T राजकीय उच्च प्राथमिक विद्यालय हराया
lf I।
३६६i'
",T defeated State High Primary School lf I. 366i &#39;,119.543,"{'Medical_body': array(['Jan Aushadhi', 'Central Government Health Scheme',
       'Integrated Rural Development Program',
       'Pradhan Mantri Bhartiya Jan Aushadhi Kendra(PMBJK)'],
      dtype='|S50'), 'Water_supply_body': array([ 'Soil and Water Conservation under Hill Area Development Programme-Aug 25, 2011'],
      dtype='|S78'), 'Transportational Asset': array(['Green Urban Transport Scheme(GUTS) - PM Jan Dhan Yojana'],
      dtype='|S55'), 'Environment_management': array(['Tamil Nadu Biodiversity Conservation and Greening Project (TBGP)',
       'National Afforestation Programme', 'Green India mission',
       'Intensification of Forest Management Scheme'],
      dtype='|S64')}"
7,9hindi.jpg,28.5422366927,76.5840244481,0,"LPG , Natural Gas station","[u'property', u'signage', u'building']","CSC IDC HR0010086
Uतिताव
ग्राम पंचायत फतेहपुट-12
खण्डजगाधी, बा यमुनानगर
2 : ई-सेवा
- डिजिटल सेवा।
कॉमन सर्विस सेंटर
VILL. BAIPU-123, YAMUNAAGA , AYAA
","CSC IDC HR0010086 UTITAV Gram Panchayat Fatehput-12 Khandjagadi, Baymunanagar 2: eService - Digital Service. Common Service Center VILL. BAIPU-123, YAMUNAAGA, AYAA",119.543,"{'Medical_body': array(['Jan Aushadhi', 'Central Government Health Scheme',
       'Integrated Rural Development Program',
       'Pradhan Mantri Bhartiya Jan Aushadhi Kendra(PMBJK)'],
      dtype='|S50'), 'Water_supply_body': array([ 'Soil and Water Conservation under Hill Area Development Programme-Aug 25, 2011'],
      dtype='|S78'), 'Transportational Asset': array(['Green Urban Transport Scheme(GUTS) - PM Jan Dhan Yojana'],
      dtype='|S55'), 'Environment_management': array(['Tamil Nadu Biodiversity Conservation and Greening Project (TBGP)',
       'National Afforestation Programme', 'Green India mission',
       'Intensification of Forest Management Scheme'],
      dtype='|S64')}"
8,12tamil.jpg,27.5908495259,76.5216544684,0,Fuel / Filling Station,"[u'filling station', u'fuel', u'gasoline', u'building', u'business']","| djanOl
YL
","| djanOl
YL
",119.543,"{'Medical_body': array(['Jan Aushadhi', 'Central Government Health Scheme',
       'Integrated Rural Development Program',
       'Pradhan Mantri Bhartiya Jan Aushadhi Kendra(PMBJK)'],
      dtype='|S50'), 'Water_supply_body': array([ 'Soil and Water Conservation under Hill Area Development Programme-Aug 25, 2011'],
      dtype='|S78'), 'Transportational Asset': array(['Green Urban Transport Scheme(GUTS) - PM Jan Dhan Yojana'],
      dtype='|S55'), 'Environment_management': array(['Tamil Nadu Biodiversity Conservation and Greening Project (TBGP)',
       'National Afforestation Programme', 'Green India mission',
       'Intensification of Forest Management Scheme'],
      dtype='|S64')}"
9,4hindi.jpg,28.3919528073,77.1066012578,0,public_service_body,"[u'property', u'institution', u'building', u'real estate', u'facade', u'state school']","T कार्यालय जिला शिक्षा अधिकारी माध्यमिक शावनी
",T Office of the District Education Officer Secondary Shawnee,119.543,"{'Medical_body': array(['Jan Aushadhi', 'Central Government Health Scheme',
       'Integrated Rural Development Program',
       'Pradhan Mantri Bhartiya Jan Aushadhi Kendra(PMBJK)'],
      dtype='|S50'), 'Water_supply_body': array([ 'Soil and Water Conservation under Hill Area Development Programme-Aug 25, 2011'],
      dtype='|S78'), 'Transportational Asset': array(['Green Urban Transport Scheme(GUTS) - PM Jan Dhan Yojana'],
      dtype='|S55'), 'Environment_management': array(['Tamil Nadu Biodiversity Conservation and Greening Project (TBGP)',
       'National Afforestation Programme', 'Green India mission',
       'Intensification of Forest Management Scheme'],
      dtype='|S64')}"
